Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue GBR,Price Clean GBR,Month,Price num
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,01-Dec-09,01/06/1995,13085,United Kingdom,4182.12,348.51,1.12.09,34851
489434,79323P,PINK CHERRY LIGHTS,12,01-Dec-09,01/06/1975,13085,United Kingdom,3305.52,275.46,1.12.09,27546
489434,79323W, WHITE CHERRY LIGHTS,12,01-Dec-09,01/06/1975,13085,United Kingdom,3305.52,275.46,1.12.09,27546
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,01-Dec-09,02/01/2026,13085,United Kingdom,22091.52,460.24,1.12.09,46024
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,01-Dec-09,01/01/2025,13085,United Kingdom,10957.92,456.58,1.12.09,45658
489434,22064,PINK DOUGHNUT TRINKET POT ,24,01-Dec-09,01/01/1965,13085,United Kingdom,5698.32,237.43,1.12.09,23743
489434,21871,SAVE THE PLANET MUG,24,01-Dec-09,01/01/2025,13085,United Kingdom,10957.92,456.58,1.12.09,45658
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,01-Dec-09,01/05/1995,13085,United Kingdom,3482,348.2,1.12.09,34820
489435,22350,CAT BOWL ,12,01-Dec-09,01/02/1955,13085,United Kingdom,2414.52,201.21,1.12.09,20121
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,01-Dec-09,01/03/1975,13085,United Kingdom,3294.48,274.54,1.12.09,27454
489435,22195,HEART MEASURING SPOONS LARGE,24,01-Dec-09,01/01/1965,13085,United Kingdom,5698.32,237.43,1.12.09,23743
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,01-Dec-09,01/02/1955,13085,United Kingdom,2414.52,201.21,1.12.09,20121
489436,48173C,DOOR MAT BLACK FLOCK ,10,01-Dec-09,01/05/1995,13078,United Kingdom,3482,348.2,1.12.09,34820
489436,21755,LOVE BUILDING BLOCK WORD,18,01-Dec-09,01/05/1945,13078,United Kingdom,2980.44,165.58,1.12.09,16558
489436,21754,HOME BUILDING BLOCK WORD,3,01-Dec-09,01/05/1995,13078,United Kingdom,1044.6,348.2,1.12.09,34820
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,01-Dec-09,01/01/1969,13078,United Kingdom,4032.64,252.04,1.12.09,25204
489436,22119, PEACE WOODEN BLOCK LETTERS,3,01-Dec-09,01/06/1995,13078,United Kingdom,1045.53,348.51,1.12.09,34851
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,01-Dec-09,01/01/1945,13078,United Kingdom,1972.56,164.38,1.12.09,16438
489436,22296,HEART IVORY TRELLIS LARGE,12,01-Dec-09,01/01/1965,13078,United Kingdom,2849.16,237.43,1.12.09,23743
489436,22295,HEART FILIGREE DOVE LARGE,12,01-Dec-09,01/01/1965,13078,United Kingdom,2849.16,237.43,1.12.09,23743
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,01-Dec-09,01/03/1939,13078,United Kingdom,2288.8,143.05,1.12.09,14305
489436,22107,PIZZA PLATE IN BOX,4,01-Dec-09,01/03/1975,13078,United Kingdom,1098.16,274.54,1.12.09,27454
489436,22194,BLACK DINER WALL CLOCK,2,01-Dec-09,08/05/2026,13078,United Kingdom,923,461.5,1.12.09,46150
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,01-Dec-09,01/04/1965,13078,United Kingdom,2859.96,238.33,1.12.09,23833
489436,82582,AREA PATROLLED METAL SIGN,12,01-Dec-09,02/01/2026,13078,United Kingdom,5522.88,460.24,1.12.09,46024
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,01-Dec-09,02/01/2026,13078,United Kingdom,5522.88,460.24,1.12.09,46024
489436,21756,BATH BUILDING BLOCK WORD,3,01-Dec-09,01/05/1995,13078,United Kingdom,1044.6,348.2,1.12.09,34820
489436,21333,CLASSIC WHITE FRAME,6,01-Dec-09,01/02/1995,13078,United Kingdom,2083.86,347.31,1.12.09,34731
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,01-Dec-09,01/01/2025,13078,United Kingdom,3652.64,456.58,1.12.09,45658
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,01-Dec-09,01/01/2025,13078,United Kingdom,3652.64,456.58,1.12.09,45658
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,01-Dec-09,01/04/2025,13078,United Kingdom,10979.52,457.48,1.12.09,45748
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,01-Dec-09,02/01/2026,15362,United Kingdom,2761.44,460.24,1.12.09,46024
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,01-Dec-09,02/01/2026,15362,United Kingdom,2761.44,460.24,1.12.09,46024
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,21364,PEACE SMALL WOOD LETTERS,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,21360,JOY LARGE WOOD LETTERS,1,01-Dec-09,01/09/1995,15362,United Kingdom,349.43,349.43,1.12.09,34943
489437,21351,CINAMMON & ORANGE WREATH,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,21352,EUCALYPTUS & PINECONE  WREATH,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,35400,WOODEN BOX ADVENT CALENDAR ,2,01-Dec-09,01/08/1995,15362,United Kingdom,698.24,349.12,1.12.09,34912
489437,20695,FLORAL BLUE MONSTER,3,01-Dec-09,01/04/2025,15362,United Kingdom,1372.44,457.48,1.12.09,45748
489437,37370,RETRO COFFEE MUGS ASSORTED,12,01-Dec-09,01/01/2025,15362,United Kingdom,5478.96,456.58,1.12.09,45658
489437,10002,INFLATABLE POLITICAL GLOBE ,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,01-Dec-09,01/02/1955,15362,United Kingdom,1207.26,201.21,1.12.09,20121
489437,20703,BLUE PADDED SOFT MOBILE,3,01-Dec-09,01/04/2025,15362,United Kingdom,1372.44,457.48,1.12.09,45748
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,01-Dec-09,0.65,15362,United Kingdom,7.8,0.65,1.12.09,0.65
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,01-Dec-09,01/01/2025,15362,United Kingdom,5478.96,456.58,1.12.09,45658
489437,22271,FELTCRAFT DOLL ROSIE,6,01-Dec-09,01/02/1995,15362,United Kingdom,2083.86,347.31,1.12.09,34731
489437,22272,FELTCRAFT DOLL MARIA,6,01-Dec-09,01/02/1995,15362,United Kingdom,2083.86,347.31,1.12.09,34731